,0,1
0,bouwmaat.nl,https://www.bouwmaat.nl/bouwmaterialen
1,hornbach.nl,https://www.hornbach.nl/shop/Bouwmateriaal/S4471/artikeloverzicht.html
2,bouwbestel.nl,https://www.bouwbestel.nl/bouwmaterialen.html
3,online-bouwmaterialen.nl,https://www.online-bouwmaterialen.nl/
4,bmn.nl,https://www.bmn.nl/
5,bouwonline.com,https://www.bouwonline.com/
6,huisman.nl,https://www.huisman.nl/bouwmaterialen/
7,pontmeyer.nl,https://www.pontmeyer.nl/
8,ad.nl,https://www.ad.nl/wonen/prijzen-voor-bouwmaterialen-rijzen-de-pan-uit~a0314697/
9,bouwmaterialenkopen.com,https://www.bouwmaterialenkopen.com/
10,sleiderink.nl,https://www.sleiderink.nl/bouwmaterialen
11,bol.com,https://www.bol.com/nl/m/bouwmaterialen/
12,gamma.nl,https://www.gamma.nl/assortiment/k/bouwmaterialen
13,karwei.nl,https://www.karwei.nl/assortiment/k/bouwmaterialen
14,verdouw.nu,https://www.verdouw.nu/
15,houtenbouwmaterialen.nl,https://www.houtenbouwmaterialen.nl/bouwmaterialen
16,houtenbouwmaterialen.nl,https://www.houtenbouwmaterialen.nl/
17,stmiddelkoop.nl,https://www.stmiddelkoop.nl/bouwmaterialen/
18,praxis.nl,https://www.praxis.nl/bouwmaterialen/b1/
19,raabkarcher.nl,https://www.raabkarcher.nl/bouwmaterialen
20,debouwmarktshop.nl,https://www.debouwmarktshop.nl/
21,gebruiktebouwmaterialen.com,https://gebruiktebouwmaterialen.com/
22,oke-bouwmaterialen.nl,https://www.oke-bouwmaterialen.nl/
23,wikipedia.org,https://nl.wikipedia.org/wiki/Bouwmateriaal
24,bouwmaterialen-nederland.nl,http://www.bouwmaterialen-nederland.nl/
25,witzand.nl,https://www.witzand.nl/assortiment/bouwmaterialen/
26,bouwcenter.nl,https://www.bouwcenter.nl/driessen/bouwmaterialen/
27,veldhovense.nl,https://www.veldhovense.nl/bouwmaterialen
28,nelemans.nl,https://www.nelemans.nl/bouwcenter/bouwmaterialen/
29,houthandelonline.nl,https://www.houthandelonline.nl/bouwmaterialen
30,jongeneel.nl,https://www.jongeneel.nl/
31,kombibouwmaterialen.nl,https://www.kombibouwmaterialen.nl/producten/bouwmaterialen/
32,crijnsbouwmaterialen.nl,https://www.crijnsbouwmaterialen.nl/nl/bouwmaterialen-kopen
33,coppushorst.nl,https://coppushorst.nl/bouwmaterialen/
34,joostdevree.nl,https://www.joostdevree.nl/shtmls/bouwmaterialen.shtml
35,vlaandergroep.nl,https://www.vlaandergroep.nl/bouwmaterialen/
36,hout-en-bouwmaterialen.nl,http://www.hout-en-bouwmaterialen.nl/
37,bpgdejonge.nl,https://www.bpgdejonge.nl/bouwmaterialen/
38,hetjagershuis.com,https://www.hetjagershuis.com/c-4257901/bouwmaterialen/
39,groenebouwmaterialen.nl,https://www.groenebouwmaterialen.nl/
40,bouwmaterialenzeeland.nl,https://www.bouwmaterialenzeeland.nl/
41,flexbouwmateriaal.nl,https://www.flexbouwmateriaal.nl/
42,breukers.nl,https://www.breukers.nl/bouwmaterialen
43,bouwman-denhaag.nl,https://www.bouwman-denhaag.nl/
44,hormes.nl,https://www.hormes.nl/bouwmaterialen/
45,ggoedkoop.nl,https://www.ggoedkoop.nl/
46,eco-bouwmaterialen.nl,https://www.eco-bouwmaterialen.nl/
47,pianoo.nl,https://www.pianoo.nl/nl/themas/maatschappelijk-verantwoord-inkopen/buyer-groups/buyer-group-biobased-bouwmaterialen
48,bakkerdehouthandel.nl,https://www.bakkerdehouthandel.nl/blog/bouwmaterialen/
49,vanderwalhout.nl,https://www.vanderwalhout.nl/producten/bouwmaterialen
50,marktplaats.nl,https://www.marktplaats.nl/u/bloem-gebruikte-bouwmaterialen/24208413/
51,xs4all.nl,https://berkela.home.xs4all.nl/materialisering/bouwmaterialen.html
52,basbouwmaterialen.nl,https://www.basbouwmaterialen.nl/
53,nos.nl,https://nos.nl/l/2380864
54,eppinga.nl,https://eppinga.nl/
55,hominco.nl,https://www.hominco.nl/
56,verstegen-houthandel.nl,https://www.verstegen-houthandel.nl/
57,noordbouwmaterialen.nl,https://noordbouwmaterialen.nl/
58,bkbouwmarkt.nl,http://www.bkbouwmarkt.nl/bouwmaterialen/
59,bouwmaterialen-recruitment.nl,https://www.bouwmaterialen-recruitment.nl/
60,nbs-bouwmaterialen.nl,https://www.nbs-bouwmaterialen.nl/
61,voascherpenzeel.nl,https://www.voascherpenzeel.nl/bouwmaterialen.html
62,3mnederland.nl,https://www.3mnederland.nl/3M/nl_NL/p/c/bouwmaterialen/i/commerciele-oplossingen/
63,woutersbouwmaterialen.nl,https://www.woutersbouwmaterialen.nl/
64,vleutenbouwmaterialen.nl,https://www.vleutenbouwmaterialen.nl/
65,nijmegen.nl,https://www.nijmegen.nl/diensten/bouwen-en-wonen/bouwmaterialen-op-openbaar-terrein/
66,dehouthal.nl,http://www.dehouthal.nl/
67,limburgsebouwmaterialen.nl,https://limburgsebouwmaterialen.nl/
68,kiwa.com,https://www.kiwa.com/nl/nl/markten/bouwmaterialen/
69,vandepol.info,https://vandepol.info/bouwen/bouwmaterialen
70,startpagina.nl,https://bouwmaterialen.startpagina.nl/
71,bouwmarktschoonoord.nl,https://www.bouwmarktschoonoord.nl/product-categorie/bouwmaterialen/
72,bmbrabant.nl,https://bmbrabant.nl/
73,yuvambouwmaterialen.nl,https://www.yuvambouwmaterialen.nl/
74,beertenbouwmaterialen.nl,https://beertenbouwmaterialen.nl/
75,wijnandsbouwmaterialen.nl,https://wijnandsbouwmaterialen.nl/
76,rvo.nl,https://www.rvo.nl/sites/default/files/2020/02/erkende-maatregelenlijst-bouwmaterialen.pdf
77,bomij.nl,https://www.bomij.nl/nl-NL/296/bouwmaterialen.html
78,limtrade.nl,https://www.limtrade.nl/af-bouw/bouwmaterialen
79,probouwen.nl,https://www.probouwen.nl/
80,mulder-bouwmateriaal.nl,https://www.mulder-bouwmateriaal.nl/
81,veldmanbouwmaterialen.nl,https://veldmanbouwmaterialen.nl/
82,makroshop.be,https://www.makroshop.be/nl/bouwen-en-gereedschappen/bouwmaterialen
83,bloemgebruiktebouwmaterialen.nl,https://www.bloemgebruiktebouwmaterialen.nl/
84,bouwsales.nl,https://www.bouwsales.nl/970-bouwmaterialen
85,facebook.com,https://www.facebook.com/bouwmaterialen/
86,omtzigt-bouwmaterialen.nl,https://www.omtzigt-bouwmaterialen.nl/
87,helmondsebouwmaterialenhandel.nl,https://www.helmondsebouwmaterialenhandel.nl/
88,witmix-bouwmaterialen.nl,http://www.witmix-bouwmaterialen.nl/
89,mercatorenco.nl,https://www.mercatorenco.nl/
90,bouwmaterialen-neerkant.nl,https://www.bouwmaterialen-neerkant.nl/
91,encyclo.nl,https://www.encyclo.nl/begrip/bouwmateriaal
92,deruiterleerdam.nl,https://www.deruiterleerdam.nl/producten/bouwmaterialen/
93,bouwcheap.nl,https://www.bouwcheap.nl/
94,hshbouwmaterialen.nl,https://www.hshbouwmaterialen.nl/
95,mewissenbouwmaterialen.nl,https://www.mewissenbouwmaterialen.nl/
96,restoric.nl,https://www.restoric.nl/bouwmaterialen
97,vlaardingen.nl,https://www.vlaardingen.nl/Onderwerpen/Bouwen/Bouwen/Bouwmaterialen_containers_plaatsen
98,miedemabouwmaterialen.nl,https://www.miedemabouwmaterialen.nl/
